##NAMES=Inderite
##RRUFFID=R050195
##IDEAL CHEMISTRY=MgB_3_O_3_(OH)_5_&#183;5H_2_O
##LOCALITY=Boron, Kern County, California, USA
##OWNER=RRUFF
##SOURCE=Dave Bunk Minerals
##DESCRIPTION=Colorless prismatic crystal
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050195
##MEASURED CHEMISTRY=Mg_1.00_B_3.00_O_3_(OH)_5_·5H_2_O ; Mg measured, only
##PIN_ID=L00296
##ORIENTATION=Laser parallel to c* (0 0 1). Fiducial mark perpendicular to laser is parallel to a [1 0 0]
511.655, 2645.607
512.982, 2547.809
514.310, 2135.035
515.637, 1608.287
516.964, 1696.568
518.291, 1216.885
519.617, 1069.240
520.944, 704.658
522.270, 935.135
523.596, 736.670
524.921, 484.291
526.247, 494.980
527.572, 275.750
528.897, 256.580
530.222, 436.445
531.547, 62.352
532.871, 307.307
534.196, 40.650
535.520, 218.404
536.844, 4.309
538.167, 208.572
539.491, 14.518
540.814, 226.902
542.137, 25.457
543.460, 213.443
544.783, 55.305
546.105, 77.236
547.427, 239.779
548.749, 60.402
550.071, 191.100
551.393, 151.572
552.714, 116.174
554.035, 226.334
555.356, 309.188
556.677, 26.148
557.998, 186.883
559.318, 603.559
560.638, 234.184
561.958, 775.887
563.278, 814.604
564.597, 848.328
565.917, 1298.070
567.236, 937.822
568.555, 1589.588
569.874, 1388.365
571.192, 1737.158
572.511, 1811.959
573.829, 1567.773
575.147, 2260.602
576.464, 1993.439
577.782, 2293.293
579.099, 2681.158
580.416, 2551.035
581.733, 2704.924
583.050, 2676.826
584.366, 2946.744
585.683, 2682.670
586.999, 2528.611
588.315, 2387.564
589.630, 1971.584
590.946, 1986.648
592.261, 1748.764
593.576, 1266.977
594.891, 1311.217
596.206, 1005.557
597.520, 1259.932
598.834, 916.348
600.148, 951.777
601.462, 1127.232
602.776, 815.725
604.089, 1197.229
605.402, 976.752
606.715, 1043.287
608.028, 1168.834
609.341, 1049.395
610.653, 1517.967
611.965, 1599.549
613.277, 1794.145
614.589, 2114.752
615.901, 2411.373
617.212, 2834.006
618.523, 3075.648
619.834, 3406.305
621.145, 3832.973
622.456, 4371.648
623.766, 4941.340
625.076, 5489.645
626.386, 6519.756
627.696, 6757.480
629.006, 7455.217
630.315, 8249.969
631.624, 8663.723
632.933, 9226.496
634.242, 9894.281
635.551, 9924.074
636.859, 10776.879
638.167, 10242.699
639.475, 10792.527
640.783, 10549.361
642.090, 10075.215
643.398, 10088.076
644.705, 9501.949
646.012, 9122.836
647.318, 8463.730
648.625, 7929.639
649.931, 7708.555
651.237, 6888.486
652.543, 6439.426
653.849, 6190.377
655.155, 5527.340
656.460, 5300.311
657.765, 4323.293
659.070, 4221.287
660.375, 3929.293
661.679, 3403.305
662.984, 3408.332
664.288, 2816.371
665.592, 2982.416
666.895, 2411.475
668.199, 2145.541
669.502, 2017.619
670.805, 1915.709
672.108, 1612.809
673.411, 1459.918
674.713, 1226.037
676.016, 1377.166
677.318, 871.303
678.620, 981.451
679.921, 861.609
681.223, 515.775
682.524, 721.947
683.825, 435.131
685.126, 544.322
686.427, 482.521
687.727, 114.729
689.028, 445.943
690.328, 149.164
691.628, 188.961
692.927, 50.500
694.227, 101.672
695.526, 134.469
696.825, 113.676
698.124, 134.301
699.423, 119.967
700.721, 162.268
702.020, 13.277
703.318, 133.312
704.616, 386.998
705.913, 29.445
707.211, 239.297
708.508, 54.607
709.805, 387.867
711.102, 222.211
712.399, 39.002
713.695, 471.467
714.992, 120.480
716.288, 226.562
717.584, 48.291
718.879, 60.156
720.175, 44.031
721.470, 299.932
722.765, 113.846
724.060, 249.801
725.355, 469.781
726.649, 409.775
727.944, 984.791
729.238, 803.848
730.532, 1497.922
731.825, 1790.096
733.119, 1856.281
734.412, 2848.525
735.705, 3092.779
736.998, 3830.043
738.291, 5129.379
739.584, 6065.725
740.876, 7656.129
742.168, 8390.559
743.460, 9095.000
744.752, 9174.512
746.043, 8684.035
747.334, 7914.566
748.626, 6873.166
749.916, 5760.775
751.207, 4901.393
752.498, 3885.023
753.788, 3469.664
755.078, 2823.314
756.368, 2105.975
757.658, 1751.645
758.947, 1616.324
760.237, 1437.012
761.526, 1111.711
762.815, 930.422
764.104, 1018.141
765.392, 570.869
766.680, 1043.607
767.969, 653.354
769.257, 441.111
770.544, 782.879
771.832, 395.666
773.119, 517.463
774.406, 460.268
775.693, 347.084
776.980, 320.910
778.267, 193.746
779.553, 367.590
780.839, 417.447
782.125, 428.340
783.411, 416.246
784.697, 192.160
785.982, 291.113
787.267, 338.078
788.552, 211.051
789.837, 355.031
791.122, 369.023
792.406, 23.027
793.690, 663.043
794.974, 365.068
796.258, 392.148
797.542, 588.887
798.825, 452.379
800.108, 822.531
801.391, 485.693
802.674, 781.865
803.957, 672.045
805.239, 797.236
806.522, 1257.463
807.804, 996.697
809.085, 1057.939
810.367, 1292.191
811.649, 1020.451
812.930, 1482.764
814.211, 1513.082
815.492, 1418.414
816.772, 1214.791
818.053, 1322.178
819.333, 1301.588
820.613, 1071.004
821.893, 1134.428
823.173, 1156.871
824.452, 1027.324
825.732, 877.785
827.011, 818.254
828.290, 680.734
829.568, 637.219
830.847, 342.715
832.125, 520.217
833.403, 513.729
834.681, 263.246
835.959, 258.773
837.236, 402.309
838.514, 270.852
839.791, 448.400
841.068, 308.957
842.345, 323.523
843.621, 133.098
844.898, 349.680
846.174, 338.275
847.450, 293.066
848.726, 714.680
850.001, 575.346
851.277, 697.480
852.552, 734.770
853.827, 707.518
855.102, 920.518
856.376, 1001.363
857.651, 835.191
858.925, 1047.604
860.199, 724.107
861.473, 1144.369
862.746, 1008.406
864.020, 933.730
865.293, 1452.994
866.566, 1371.148
867.839, 1345.951
869.112, 1652.143
870.384, 1825.783
871.656, 2011.010
872.928, 2402.256
874.200, 2554.217
875.472, 2853.500
876.744, 3271.588
878.015, 3437.432
879.286, 3658.768
880.557, 3948.664
881.828, 3962.602
883.098, 3604.236
884.369, 3628.914
885.639, 3183.334
886.909, 3097.980
888.178, 2982.430
889.448, 2646.893
890.717, 2529.539
891.987, 2278.029
893.256, 2139.625
894.524, 2050.857
895.793, 1793.387
897.061, 1591.258
898.330, 1459.809
899.598, 1250.373
900.865, 1219.838
902.133, 1104.664
903.401, 1213.260
904.668, 1070.865
905.935, 1182.482
907.202, 1178.107
908.468, 859.744
909.735, 951.391
911.001, 826.045
912.267, 1068.711
913.533, 803.385
914.799, 796.070
916.064, 726.764
917.330, 1011.469
918.595, 817.180
919.860, 730.902
