##NAMES=Inderite
##RRUFFID=R050195
##IDEAL CHEMISTRY=MgB_3_O_3_(OH)_5_&#183;5H_2_O
##LOCALITY=Boron, Kern County, California, USA
##OWNER=RRUFF
##SOURCE=Dave Bunk Minerals
##DESCRIPTION=Colorless prismatic crystal
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050195
##MEASURED CHEMISTRY=Mg_1.00_B_3.00_O_3_(OH)_5_·5H_2_O ; Mg measured, only
##PIN_ID=L00488
##ORIENTATION=Laser parallel to a* (1 0 0). Fiducial mark perpendicular to laser is parallel to b [0 1 0]
502.356, 16512.566
503.685, 14725.182
505.014, 12213.787
506.342, 10639.377
507.671, 8887.990
508.999, 6883.607
510.327, 5713.225
511.655, 3925.920
512.982, 3379.617
514.310, 2515.383
515.637, 1862.229
516.964, 1694.074
518.291, 1058.023
519.617, 989.992
520.944, 846.082
522.270, 564.281
523.596, 345.545
524.921, 379.941
526.247, 228.398
527.572, 15.008
528.897, 10.732
530.222, 169.486
531.547, 348.613
532.871, 126.156
534.196, 326.988
535.520, 19.217
536.844, 265.400
538.167, 359.670
539.491, 122.059
540.814, 374.496
542.137, 260.119
543.460, 137.848
544.783, 128.613
546.105, 194.338
547.427, 138.121
548.749, 72.898
550.071, 250.637
551.393, 248.504
552.714, 40.477
554.035, 126.455
555.356, 346.432
556.677, 45.410
557.998, 478.387
559.318, 826.363
560.638, 655.340
561.958, 1159.314
563.278, 1310.291
564.597, 1391.266
565.917, 2142.240
567.236, 1899.217
568.555, 2825.191
569.874, 2773.164
571.192, 3635.139
572.511, 4079.109
573.829, 4488.084
575.147, 5309.057
576.464, 5356.027
577.782, 6336.000
579.099, 6923.988
580.416, 7415.078
581.733, 8182.242
583.050, 8353.539
584.366, 8969.918
585.683, 8911.375
586.999, 8334.039
588.315, 8247.859
589.630, 7365.885
590.946, 6927.096
592.261, 6321.510
593.576, 5970.121
594.891, 5673.801
596.206, 4820.613
597.520, 4773.438
598.834, 4460.320
600.148, 4334.203
601.462, 4253.082
602.776, 4004.957
604.089, 3977.832
605.402, 4410.703
606.715, 4380.574
608.028, 4708.441
609.341, 4767.305
610.653, 5222.168
611.965, 5412.031
613.277, 6013.891
614.589, 6725.746
615.901, 7025.602
617.212, 7910.451
618.523, 8783.301
619.834, 9439.146
621.145, 10791.990
622.456, 11305.832
623.766, 12940.672
625.076, 13995.512
626.386, 15282.344
627.696, 16828.174
629.006, 17946.004
630.315, 19627.828
631.624, 20359.652
632.933, 21683.475
634.242, 22868.291
635.551, 22972.107
636.859, 24112.924
638.167, 23765.734
639.475, 24320.537
640.783, 23112.445
642.090, 22526.250
643.398, 22021.045
644.705, 20537.055
646.012, 19909.846
647.318, 18925.227
648.625, 17474.010
649.931, 16390.791
651.237, 15120.072
652.543, 13739.031
653.849, 13095.668
655.155, 11498.852
656.460, 10981.609
657.765, 9970.457
659.070, 9408.203
660.375, 8373.102
661.679, 7874.635
662.984, 7309.367
664.288, 6619.746
665.592, 6184.973
666.895, 5636.188
668.199, 5311.488
669.502, 5102.086
670.805, 4511.051
672.108, 4207.023
673.411, 4370.066
674.713, 3678.539
676.016, 3681.918
677.318, 3294.258
678.620, 3147.178
679.921, 2922.834
681.223, 2832.166
682.524, 2754.721
683.825, 2408.176
685.126, 2480.578
686.427, 2401.852
687.727, 2623.016
689.028, 2391.486
690.328, 2339.420
691.628, 2016.020
692.927, 2075.049
694.227, 1930.590
695.526, 1889.299
696.825, 1863.939
698.124, 1575.906
699.423, 1736.748
700.721, 1525.283
702.020, 1640.420
703.318, 1226.453
704.616, 1203.039
705.913, 1363.736
707.211, 769.301
708.508, 1110.025
709.805, 920.785
711.102, 846.814
712.399, 844.820
713.695, 735.539
714.992, 1044.494
716.288, 942.422
717.584, 1027.324
718.879, 1158.203
720.175, 1086.051
721.470, 1256.875
722.765, 1457.674
724.060, 1525.445
725.355, 2051.189
726.649, 2089.906
727.944, 2742.598
729.238, 3079.260
730.532, 3810.896
731.825, 4184.508
733.119, 5404.088
734.412, 6475.643
735.705, 7908.168
736.998, 10061.668
738.291, 12095.137
739.584, 14236.574
740.876, 17406.984
742.168, 19526.361
743.460, 21257.703
744.752, 21674.021
746.043, 20373.301
747.334, 19141.547
748.626, 16464.760
749.916, 14258.938
751.207, 12418.074
752.498, 10117.178
753.788, 8916.244
755.078, 7552.268
756.368, 6521.256
757.658, 5815.207
758.947, 4734.121
760.237, 4571.994
761.526, 4128.830
762.815, 3570.629
764.104, 3602.387
765.392, 3311.109
766.680, 3246.789
767.969, 3009.436
769.257, 2794.039
770.544, 2759.607
771.832, 2407.135
773.119, 2405.623
774.406, 2039.072
775.693, 1650.484
776.980, 1715.855
778.267, 1627.188
779.553, 1384.482
780.839, 1258.736
782.125, 1113.951
783.411, 1113.127
784.697, 1174.266
785.982, 534.361
787.267, 960.422
788.552, 521.441
789.837, 605.420
791.122, 640.361
792.406, 344.262
793.690, 731.125
794.974, 291.947
796.258, 343.727
797.542, 382.469
798.825, 126.176
800.108, 434.826
801.391, 180.439
802.674, 384.016
803.957, 378.555
805.239, 71.053
806.522, 262.484
807.804, 17.875
809.085, 205.180
810.367, 329.438
811.649, 81.660
812.930, 386.818
814.211, 264.355
815.492, 146.434
816.772, 527.461
818.053, 5.316
819.333, 68.211
820.613, 189.418
821.893, 165.803
823.173, 140.791
824.452, 129.668
825.732, 162.291
827.011, 218.115
828.290, 248.738
829.568, 42.174
830.847, 327.762
832.125, 290.195
833.403, 111.887
834.681, 394.734
835.959, 96.887
837.236, 463.188
838.514, 379.832
839.791, 78.762
841.068, 447.816
842.345, 172.203
843.621, 218.668
844.898, 321.336
846.174, 143.168
847.450, 176.148
848.726, 163.230
850.001, 47.625
851.277, 149.461
852.552, 500.367
853.827, 533.312
855.102, 269.277
856.376, 557.246
857.651, 852.250
858.925, 1510.258
860.199, 1844.266
861.473, 1655.316
862.746, 1626.406
864.020, 1761.465
865.293, 1838.496
866.566, 2109.492
867.839, 1866.457
869.112, 2179.398
870.384, 1956.301
871.656, 2095.176
872.928, 2211.020
874.200, 2158.836
875.472, 2871.621
876.744, 2503.379
878.015, 3056.105
879.286, 3003.805
880.557, 2992.477
881.828, 3200.117
883.098, 3096.734
884.369, 3350.328
885.639, 3196.891
