##NAMES=Inderite
##RRUFFID=R050195
##IDEAL CHEMISTRY=MgB_3_O_3_(OH)_5_&#183;5H_2_O
##LOCALITY=Boron, Kern County, California, USA
##OWNER=RRUFF
##SOURCE=Dave Bunk Minerals
##DESCRIPTION=Colorless prismatic crystal
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050195
##MEASURED CHEMISTRY=Mg_1.00_B_3.00_O_3_(OH)_5_·5H_2_O ; Mg measured, only
##PIN_ID=L00380
##ORIENTATION=Laser parallel to -b* (0 -1 0). Fiducial mark perpendicular to laser is parallel to -c [0 0 -1]
502.356, 12378.398
503.685, 9764.896
505.014, 8323.430
506.342, 7161.998
507.671, 5549.602
508.999, 5092.238
510.327, 4086.914
511.655, 3748.625
512.982, 3283.375
514.310, 2350.162
515.637, 2403.992
516.964, 1693.863
518.291, 1762.781
519.617, 1231.795
520.944, 1000.902
522.270, 1221.123
523.596, 647.504
524.921, 680.996
526.247, 432.664
527.572, 359.477
528.897, 399.428
530.222, 36.578
531.547, 2.709
532.871, 43.002
534.196, 139.475
535.520, 244.846
536.844, 460.168
538.167, 89.977
539.491, 387.230
540.814, 114.754
542.137, 100.102
543.460, 572.463
544.783, 89.504
546.105, 164.471
547.427, 94.947
548.749, 128.766
550.071, 328.602
551.393, 217.545
552.714, 3.357
554.035, 132.930
555.356, 439.789
556.677, 363.445
557.998, 853.512
559.318, 898.602
560.638, 1186.629
561.958, 1521.955
563.278, 1802.727
564.597, 2146.453
565.917, 2033.229
567.236, 2507.963
568.555, 3013.703
569.874, 3001.447
571.192, 3677.195
572.511, 3336.945
573.829, 3950.699
575.147, 4122.457
576.464, 4219.215
577.782, 4943.979
579.099, 4847.744
580.416, 5567.512
581.733, 5527.283
583.050, 5935.055
584.366, 5693.832
585.683, 5150.611
586.999, 5119.391
588.315, 4255.191
589.630, 3998.088
590.946, 3719.055
592.261, 2973.160
593.576, 3014.348
594.891, 2420.650
596.206, 2579.031
597.520, 2531.488
598.834, 2093.016
600.148, 2308.545
601.462, 1834.115
602.776, 2252.686
604.089, 2230.295
605.402, 2056.904
606.715, 2449.512
608.028, 2171.119
609.341, 2642.729
610.653, 3030.338
611.965, 3193.943
613.277, 3844.551
614.589, 3771.156
615.901, 4897.760
617.212, 5160.363
618.523, 6682.963
619.834, 7787.562
621.145, 7227.160
622.456, 9096.758
623.766, 9461.348
625.076, 10788.943
626.386, 12179.535
627.696, 12382.121
629.006, 13745.703
630.315, 13862.283
631.624, 15069.863
632.933, 15975.434
634.242, 16114.008
635.551, 17088.576
636.859, 17001.141
638.167, 17147.699
639.475, 17430.256
640.783, 16691.807
642.090, 16691.348
643.398, 15966.893
644.705, 15120.430
646.012, 14922.963
647.318, 13266.488
648.625, 13166.012
649.931, 11644.531
651.237, 11278.043
652.543, 10356.555
653.849, 9275.057
655.155, 8996.555
656.460, 7713.049
657.765, 6953.535
659.070, 6677.016
660.375, 5591.490
661.679, 5410.959
662.984, 4952.422
664.288, 4462.877
665.592, 4052.324
666.895, 3266.766
668.199, 3278.199
669.502, 2665.625
670.805, 2571.047
672.108, 2452.457
673.411, 1782.861
674.713, 1881.258
676.016, 1547.645
677.318, 1338.020
678.620, 1340.391
679.921, 810.748
681.223, 1061.094
682.524, 577.428
683.825, 731.752
685.126, 579.061
686.427, 213.355
687.727, 462.635
689.028, 233.770
690.328, 147.150
691.628, 340.488
692.927, 107.311
694.227, 276.578
695.526, 54.627
696.825, 29.908
698.124, 48.664
699.423, 195.160
700.721, 149.842
702.020, 394.584
703.318, 470.543
704.616, 324.031
705.913, 311.812
707.211, 163.848
708.508, 365.475
709.805, 632.846
711.102, 32.062
712.399, 411.350
713.695, 242.910
714.992, 243.598
716.288, 147.475
717.584, 44.518
718.879, 367.527
720.175, 478.182
721.470, 155.881
722.765, 572.566
724.060, 816.248
725.355, 774.941
726.649, 1333.627
727.944, 1687.309
729.238, 1923.980
730.532, 2909.672
731.825, 3108.475
733.119, 4053.271
734.412, 5137.141
735.705, 6404.029
736.998, 7881.906
738.291, 9384.889
739.584, 11975.859
740.876, 13287.875
742.168, 14744.922
743.460, 15221.957
744.752, 14150.047
746.043, 13299.127
747.334, 11133.193
748.626, 9681.330
749.916, 8405.451
751.207, 6668.564
752.498, 5781.672
753.788, 4867.766
755.078, 3878.844
756.368, 3391.908
757.658, 2507.955
758.947, 2524.992
760.237, 2127.012
761.526, 1761.016
762.815, 2032.010
764.104, 1381.988
765.392, 1624.955
766.680, 1588.902
767.969, 1214.842
769.257, 1295.768
770.544, 1204.678
771.832, 1173.580
773.119, 1034.469
774.406, 721.344
775.693, 1083.215
776.980, 666.072
778.267, 868.914
779.553, 778.750
780.839, 694.570
782.125, 968.381
783.411, 779.176
784.697, 871.953
785.982, 795.723
787.267, 727.480
788.552, 1025.230
789.837, 902.965
791.122, 996.688
792.406, 1128.426
793.690, 1238.146
794.974, 1435.859
796.258, 1465.453
797.542, 1657.410
798.825, 1613.236
800.108, 1715.113
801.391, 1918.977
802.674, 1730.910
803.957, 1972.828
805.239, 2210.760
806.522, 2740.701
807.804, 2588.625
809.085, 2551.572
810.367, 2828.512
811.649, 2792.438
812.930, 2855.352
814.211, 3503.254
815.492, 3061.176
816.772, 2884.086
818.053, 3265.988
819.333, 2685.912
820.613, 3059.818
821.893, 2698.719
823.173, 2576.604
824.452, 2662.471
825.732, 2209.328
827.011, 2321.172
828.290, 1989.998
829.568, 1817.928
830.847, 2037.602
832.125, 1467.379
833.403, 1524.137
834.681, 1404.877
835.959, 1103.604
837.236, 1514.311
838.514, 1007.002
839.791, 1242.680
841.068, 1476.270
842.345, 1194.908
843.621, 1369.525
844.898, 1315.932
846.174, 1376.547
847.450, 1660.516
848.726, 1614.195
850.001, 1858.328
851.277, 1883.664
852.552, 1858.822
853.827, 2309.996
855.102, 2021.725
856.376, 2783.410
857.651, 2415.580
858.925, 2554.090
860.199, 2963.594
861.473, 2558.441
862.746, 2752.248
864.020, 2642.764
865.293, 2576.355
866.566, 3046.076
867.839, 2972.623
869.112, 3441.207
870.384, 3944.861
871.656, 3741.227
872.928, 4866.156
874.200, 4610.914
875.472, 5058.855
876.744, 6220.814
878.015, 5788.621
879.286, 6222.234
880.557, 5964.510
881.828, 6018.219
883.098, 5991.652
884.369, 5388.908
885.639, 5294.379
886.909, 4726.752
888.178, 4361.498
889.448, 4355.840
890.717, 3460.291
891.987, 3441.018
893.256, 3475.914
894.524, 2790.145
895.793, 3126.143
897.061, 2563.670
898.330, 2536.680
899.598, 2537.666
900.865, 2208.543
902.133, 2320.607
903.401, 1965.178
904.668, 2025.875
905.935, 2042.826
907.202, 1824.771
908.468, 1801.709
909.735, 1705.641
911.001, 1536.646
912.267, 1579.133
913.533, 1414.471
914.799, 1571.992
916.064, 1455.883
917.330, 1388.418
918.595, 1430.654
919.860, 1070.283
921.124, 1382.229
922.389, 1382.082
923.653, 1300.588
924.918, 1523.930
926.182, 1400.756
927.445, 1453.689
928.709, 1850.504
929.972, 1684.137
931.236, 2179.551
932.499, 2171.338
933.761, 2428.045
935.024, 2920.814
936.286, 3067.574
937.549, 3823.207
938.811, 4278.947
940.073, 4431.783
941.334, 5428.008
942.596, 6037.727
943.857, 7024.811
945.118, 7757.055
946.379, 8120.986
947.640, 9021.189
948.900, 9209.135
950.161, 9356.230
951.421, 9528.379
952.681, 8499.809
953.940, 8401.717
955.200, 7508.299
956.459, 6753.166
957.719, 6413.389
958.978, 5529.971
960.236, 5046.801
961.495, 4762.270
962.753, 3876.600
964.012, 4499.920
965.270, 3825.268
966.527, 3501.047
967.785, 3754.922
969.043, 2827.719
970.300, 2834.764
971.557, 2518.625
972.814, 1998.184
974.071, 1879.551
975.327, 1589.830
976.583, 1458.332
977.840, 1175.326
979.095, 977.545
980.351, 756.742
981.607, 736.918
982.862, 691.074
984.117, 734.211
985.372, 481.322
986.627, 744.416
987.882, 523.488
989.136, 585.537
990.390, 661.756
991.644, 257.766
992.898, 550.754
994.152, 457.721
995.405, 381.672
996.659, 986.609
997.912, 705.523
999.165, 1471.488
1000.417, 1901.430
1001.670, 1349.398
1002.922, 1851.387
1004.174, 1050.369
1005.426, 766.543
1006.678, 922.697
1007.930, 317.955
1009.181, 372.438
1010.432, 311.006
1011.683, 172.674
1012.934, 477.412
1014.185, 183.756
1015.435, 79.145
1016.685, 103.041
1017.935, 187.963
1019.185, 650.984
1020.435, 317.992
1021.684, 332.035
1022.934, 620.064
1024.183, 111.180
1025.432, 401.299
1026.680, 71.389
1027.929, 63.559
1029.177, 163.428
1030.425, 23.379
1031.673, 148.291
1032.921, 67.828
1034.169, 446.029
1035.416, 216.492
1036.663, 286.023
1037.911, 67.734
1039.157, 256.467
1040.404, 395.361
1041.650, 168.553
1042.897, 129.570
1044.143, 149.811
1045.389, 359.814
1046.634, 184.588
1047.880, 108.857
1049.125, 401.260
1050.371, 251.369
1051.615, 338.811
1052.860, 217.955
1054.105, 14.061
1055.349, 419.109
1056.593, 399.125
1057.837, 595.104
1059.081, 580.045
1060.325, 355.955
1061.568, 532.824
1062.812, 436.654
1064.055, 234.451
1065.298, 740.203
1066.540, 231.918
1067.783, 851.590
1069.025, 363.221
1070.267, 133.814
1071.509, 558.357
1072.751, 51.861
1073.993, 279.312
1075.234, 454.721
1076.475, 19.160
1077.716, 466.465
1078.957, 209.730
1080.198, 69.100
1081.438, 576.270
1082.679, 193.400
1083.919, 475.488
1085.159, 431.541
1086.398, 47.857
1087.638, 791.832
1088.877, 33.752
1090.116, 308.457
1091.355, 439.275
1092.594, 38.939
1093.833, 301.850
1095.071, 136.314
1096.309, 246.346
1097.547, 368.852
1098.785, 196.012
1100.023, 180.529
1101.260, 248.346
1102.498, 239.852
1103.735, 599.820
1104.972, 31.584
1106.208, 21.061
1107.445, 437.396
1108.681, 62.184
1109.918, 219.439
1111.154, 78.752
1112.389, 249.023
1113.625, 238.139
1114.860, 44.547
1116.096, 128.582
1117.331, 136.670
1118.566, 64.281
1119.800, 337.691
1121.035, 167.629
1122.269, 209.521
1123.503, 589.375
1124.737, 170.189
1125.971, 286.959
1127.205, 1168.686
1128.438, 889.379
1129.671, 1076.088
1130.904, 695.701
1132.137, 596.271
1133.370, 756.807
1134.602, 832.301
1135.834, 587.754
1137.066, 1290.172
1138.298, 432.549
1139.530, 815.664
1140.762, 1055.967
1141.993, 513.236
1143.224, 1491.902
1144.455, 935.105
1145.686, 890.305
1146.917, 1271.363
1148.147, 949.465
1149.377, 1584.746
1150.607, 1024.781
1151.837, 1123.785
1153.067, 1768.598
1154.296, 1171.527
1155.526, 1694.426
1156.755, 1653.434
1157.984, 1536.250
1159.213, 2227.484
1160.441, 1757.402
1161.670, 1851.105
1162.898, 2471.703
1164.126, 1851.496
1165.354, 2544.332
1166.581, 2435.918
1167.809, 2188.418
1169.036, 2746.891
1170.263, 2582.324
1171.490, 2336.734
1172.717, 2905.984
1173.943, 2467.332
1175.170, 2659.688
1176.396, 2689.711
1177.622, 2005.367
1178.848, 2886.336
1180.073, 2477.711
1181.299, 2276.480
1182.524, 2775.977
1183.749, 2264.664
1184.974, 2626.430
1186.199, 2645.988
1187.423, 2102.750
1188.648, 2995.375
1189.872, 2467.684
1191.096, 2692.805
1192.320, 2905.562
1193.543, 2353.539
1194.767, 3259.500
1195.990, 2874.949
1197.213, 2632.039
1198.436, 3126.000
1199.659, 3004.707
1200.881, 2510.859
1202.104, 3067.836
1203.326, 2017.512
1204.548, 2552.984
1205.770, 2050.398
1206.991, 1561.730
1208.213, 1951.898
1209.434, 1097.066
1210.655, 1657.168
1211.876, 1765.562
1213.096, 1039.492
1214.317, 1511.680
1215.537, 1349.434
1216.757, 667.992
1217.977, 1358.531
1219.197, 674.113
1220.417, 801.980
1221.636, 1111.973
1222.855, 178.434
1224.074, 774.758
1225.293, 1123.188
1226.512, 159.422
1227.731, 885.273
1228.949, 513.781
1230.167, 737.879
1231.385, 775.492
1232.603, 367.574
1233.820, 653.117
