##NAMES=Grossular
##RRUFFID=R060442
##IDEAL CHEMISTRY=Ca_3_Al_2_(SiO_4_)_3_
##LOCALITY=Pakistan(?)
##OWNER=RRUFF
##SOURCE=Gemological Institute of America
##DESCRIPTION=Orange crystals
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R060442
##MEASURED CHEMISTRY=(Ca_2.85_Fe^2+^_0.15_)_Σ=3_(Al_1.85_Fe^3+^_0.15_)_Σ=2_(Si_1.00_O_4_)_3_; trace amounts of Ti, Mg
##PIN_ID=M01870
##ORIENTATION=Laser parallel to a* (1 0 0). Fiducial mark perpendicular to laser is parallel to c [0 0 1]
442.8560, 27.23828
444.0460, 42.28052
445.2360, 93.78076
446.4260, 125.4678
447.6160, 145.2937
448.8050, 186.1587
449.9940, 205.0637
451.1830, 339.0127
452.3720, 327.9988
453.5610, 425.0210
454.7500, 393.0793
455.9380, 410.1733
457.1260, 470.3022
458.3150, 468.4663
459.5020, 366.6650
460.6900, 386.8977
461.8780, 399.1646
463.0650, 379.1804
464.2530, 397.7991
465.4400, 407.1655
466.6270, 437.5640
467.8130, 458.7725
469.0000, 486.1384
470.1870, 548.9492
471.3730, 589.4729
472.5590, 545.0261
473.7450, 680.6091
474.9310, 702.2217
476.1160, 638.8628
477.3020, 679.5325
478.4870, 576.2302
479.6720, 463.9551
480.8570, 439.7073
482.0420, 385.4861
483.2270, 429.2915
484.4110, 371.1223
485.5960, 446.9788
486.7800, 462.8604
487.9640, 513.7661
489.1480, 655.6965
490.3310, 772.6504
491.5150, 801.6284
492.6980, 872.6284
493.8810, 1040.652
495.0640, 1096.701
496.2470, 1158.779
497.4300, 1161.885
498.6120, 1150.017
499.7950, 1177.175
500.9770, 1182.003
502.1590, 1196.432
503.3410, 1195.802
504.5220, 1236.054
505.7040, 1204.326
506.8850, 1229.615
508.0660, 1150.922
509.2470, 1071.247
510.4280, 928.5881
511.6090, 745.9504
512.7890, 671.7192
513.9700, 565.8699
515.1500, 550.8564
516.3300, 581.6870
517.5100, 562.9709
518.6900, 695.3491
519.8690, 639.8765
521.0490, 780.0757
522.2280, 916.8242
523.4070, 912.5317
524.5860, 936.5190
525.7640, 869.1108
526.9430, 838.3267
528.1210, 719.9517
529.3000, 755.3269
530.4780, 889.3848
531.6560, 1031.760
532.8330, 1319.202
534.0110, 1702.336
535.1880, 2218.529
536.3650, 2938.673
537.5430, 3867.694
538.7190, 5024.932
539.8960, 6182.377
541.0730, 7498.457
542.2490, 8719.503
543.4250, 10214.21
544.6020, 11568.32
545.7780, 12013.21
546.9530, 11313.15
548.1290, 9516.948
549.3040, 7248.653
550.4800, 5490.667
551.6550, 4173.539
552.8300, 3030.149
554.0040, 2340.013
555.1790, 1852.325
556.3540, 1419.564
557.5280, 1192.123
558.7020, 1159.048
559.8760, 1066.110
561.0500, 1003.320
562.2230, 953.7876
563.3970, 909.7925
564.5700, 939.9773
565.7430, 922.3789
566.9160, 953.3755
568.0890, 892.5933
569.2620, 878.5613
570.4340, 947.9087
571.6070, 883.6689
572.7790, 863.2588
573.9510, 870.5496
575.1230, 832.0483
576.2940, 845.9753
577.4660, 817.9009
578.6370, 797.1331
579.8080, 781.2837
580.9790, 780.5608
582.1500, 797.2795
583.3210, 804.7256
584.4910, 861.3848
585.6620, 849.3572
586.8320, 895.5483
